iter	RMSE
0	1.491545648e+10
1	1.478782743e+10
2	1.466435273e+10
3	1.453744081e+10
4	1.442841001e+10
5	1.431359046e+10
6	1.422268252e+10
7	1.411385862e+10
8	1.400342657e+10
9	1.389392758e+10
10	1.377530245e+10
11	1.366064987e+10
12	1.354188625e+10
13	1.343166805e+10
14	1.332291812e+10
15	1.321727561e+10
16	1.305133116e+10
17	1.2932023e+10
18	1.283303594e+10
19	1.269946934e+10
20	1.259286891e+10
21	1.248417112e+10
22	1.240216529e+10
23	1.229465922e+10
24	1.218725545e+10
25	1.209106879e+10
26	1.200086507e+10
27	1.191085859e+10
28	1.181208526e+10
29	1.171898761e+10
30	1.161391714e+10
31	1.15204199e+10
32	1.138521365e+10
33	1.129559846e+10
34	1.120202324e+10
35	1.110939234e+10
36	1.101082596e+10
37	1.090659553e+10
38	1.081170064e+10
39	1.068396075e+10
40	1.059509881e+10
41	1.051484355e+10
42	1.042395148e+10
43	1.033890837e+10
44	1.027072902e+10
45	1.019046039e+10
46	1.011341804e+10
47	1.003547201e+10
48	9952606784
49	9873301081
50	9799251324
51	9721074752
52	9638761181
53	9526855741
54	9444758838
55	9366631324
56	9291048327
57	9216206701
58	9142839133
59	9074267841
60	9004700910
61	8894887640
62	8824658940
63	8754029517
64	8651535285
65	8583498231
66	8517892455
67	8445984186
68	8378716984
69	8315745090
70	8252279373
71	8190387279
72	8125937713
73	8064399715
74	8003916718
75	7943512667
76	7843013995
77	7781056310
78	7722333178
79	7662113708
80	7570059657
81	7510773857
82	7446115535
83	7385051976
84	7328891377
85	7243305154
86	7186790720
87	7100992081
88	7047055450
89	6965740944
90	6911494987
91	6859658776
92	6803203721
93	6721554515
94	6671142858
95	6619248493
96	6567945830
97	6518299066
98	6469053954
99	6418753878
100	6368979449
101	6320777710
102	6271907358
103	6224464653
104	6177781169
105	6131447811
106	6081714807
107	6009902648
108	5962471909
109	5916727301
110	5871415280
111	5827704492
112	5759930825
113	5715196739
114	5672332765
115	5629790270
116	5561039160
117	5519350029
118	5455958375
119	5413359010
120	5372886815
121	5331175132
122	5290678890
123	5228949336
124	5190118847
125	5149593611
126	5110971660
127	5072639373
128	5034553191
129	4996794042
130	4957730473
131	4897894828
132	4841218096
133	4783339673
134	4725228905
135	4668783628
136	4634021139
137	4598052095
138	4543143783
139	4489827336
140	4456153632
141	4405932048
142	4372887559
143	4338334379
144	4304711050
145	4271511264
146	4239474930
147	4208102648
148	4176875677
149	4145549111
150	4114805017
151	4083943980
152	4053314401
153	4005919576
154	3974432412
155	3944624170
156	3897541361
157	3849946665
158	3805800484
159	3760408112
160	3732205052
161	3704643089
162	3676858266
163	3649281830
164	3607025630
165	3579972938
166	3553123142
167	3526896495
168	3486037344
169	3460257850
170	3434682474
171	3408922356
172	3383355439
173	3357980274
174	3315394367
175	3290528909
176	3251319283
177	3213708904
178	3190022227
179	3166150620
180	3142404491
181	3118836458
182	3095445185
183	3072229346
184	3049187627
185	3026370982
186	3003726144
187	2981198198
188	2958839212
189	2936647919
190	2914623060
191	2892763387
192	2871067662
193	2849534655
194	2828163146
195	2795150608
196	2774186979
197	2753380577
198	2732730223
199	2712602807
200	2692258286
201	2672066349
202	2640251856
203	2620449967
204	2600846219
205	2581339873
206	2561979824
207	2542751761
208	2523668189
209	2504740678
210	2485955123
211	2467310460
212	2448793258
213	2430427309
214	2412199105
215	2383494263
216	2365618056
217	2347875921
218	2330311899
219	2303595391
220	2286306476
221	2269159178
222	2252140485
223	2235249432
224	2218485061
225	2201846424
226	2185332576
227	2168942582
228	2152664420
229	2136508583
230	2120474151
231	2104560209
232	2080259629
233	2064657682
234	2049172750
235	2033803955
236	2018550425
237	2003401388
238	1988375878
239	1973463059
240	1958662087
241	1943972121
242	1929382931
243	1914912559
244	1900550715
245	1886296585
246	1872140379
247	1858090549
248	1844146295
249	1830306822
